Line Item Details/Line Item ID,Identity Details/Customer Name,Identity Details/Resource Purchase Account ID,Identity Details/Resource Purchase Account,Identity Details/Resource Owner Account ID,Identity Details/Resource Owner Account,Billing Details/Service Entity,Billing Details/Billing Month,Billing Details/Line Item Type,Billing Details/Consume Type,Product Details/Product Code,Product Details/Product Name,Product Details/Commodity Code,Product Details/Commodity Name,Product Details/Billing Item Code,Product Details/Billing Item Name,Product Details/Purchase Configuration,Product Details/Instance Type,Resource Details/Resource ID,Resource Details/Instance ID,Resource Details/Resource Name,Resource Details/Region Code,Resource Details/Region,Duration Details/Charge Duration,Duration Details/Charge Duration Unit,Usage Details/Usage,Usage Details/Usage Unit,Pricing Details/List Price,Pricing Details/List Price Unit,Pricing Details/Currency,Fee Details/Gross Amount,Fee Details/Billing Formula,Prepaid Purchase Offset Details/Prepaid Purchase Offset from Total List Price,Prepaid Purchase Offset Details/Amount After Prepaid Purchase Offset,Prepaid Purchase Offset Details/Prepaid Purchase Offset Amount,Discount Details/Discount Amount,Discount Details/Amount After Price Reduction,Coupon Deduction Details/Coupon Deduction Amount,Payable Details/Tax-exclusive Payable Amount
12dffcaaaf2ec916b5ac458254ae0e64,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Subscription Prepaid Fee,Purchase,YUNMARKET_THIRD_PARTY,Third-Party Services in Marketplace,sgcmgj00036196,sgcmgj00036196,package_version,package_version,"[{""name"":""package_version"",""value"":""yuncode3019600001""}]",,,5000003360156	,,-,-,,,,,0,,USD,0,,,,,0,0,0,0
8049729277ec43b168ac3b315dd658b8,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Tax,Tax,cbs,Database Backup,cbspre_intl,Backup Schedules,,,,,,,,ap-southeast-1,Singapore,,,,,,,USD,0,,,,,,0,,0
021ccbca66096293f32bf51f0c6557fa,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4nbgpj398ullqukvzek2;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,0.002059,GB,0.1,USD/GB,USD,0.0002059,List Price*Usage,,,,0,0.0002059,0,0.0002059
0c28fc4632776b6dfab5587268d2d678,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""Monthly Free Quota for Internet Data Transfers""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4n41h9b1jnca88b9gn2n;ap-southeast-1;BGP;0,,ap-southeast-1,Singapore,,,172.513944,GB,0,USD/GB,USD,0,List Price*Usage,,,,0,0,0,0
1ba20cd70d97089992d8463ed6c1ab0e,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4nul4hfb3sqku4bde1ks;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,0.006245,GB,0.1,USD/GB,USD,0.0006245,List Price*Usage,,,,0,0.0006245,0,0.0006245
418a2fcccb8d9028438a67db85573b2e,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Rounded-down Fee,Round-off Discount,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,,,,cbwp-t4n41h9b1jnca88b9gn2n;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,,,,,USD,0,,,,,0,0,0,-0.004873
4b13c264b6cd42caf34b4a33f8226364,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4nul4hfb3sqku4bde1ks;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,0.368864,GB,0.1,USD/GB,USD,0.0368864,List Price*Usage,,,,0,0.0368864,0,0.0368864
650281201b2db2be103d5203584c919a,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""Monthly Free Quota for Internet Data Transfers""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4n0kliz7v6iy2ooewnwf;ap-southeast-1;BGP;0,,ap-southeast-1,Singapore,,,7.058822,GB,0,USD/GB,USD,0,List Price*Usage,,,,0,0,0,0
71d4241c5ff6fa411a161f97b2069991,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""Monthly Free Quota for Internet Data Transfers""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4nul4hfb3sqku4bde1ks;ap-southeast-1;BGP;0,,ap-southeast-1,Singapore,,,0.00916,GB,0,USD/GB,USD,0,List Price*Usage,,,,0,0,0,0
7222b7c80a18f0bee06b29c8bea36e01,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4n41h9b1jnca88b9gn2n;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,5147.120898,GB,0.1,USD/GB,USD,514.7120898,List Price*Usage,,,,0,514.7120898,0,514.7120898
77427ee8b6835a1ec8d2bc71f665261d,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4nl0ekjk63oza7iqo1bv;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,739.340628,GB,0.1,USD/GB,USD,73.9340628,List Price*Usage,,,,0,73.9340628,0,73.9340628
7f7a9036cdfdc5781a18e3adc91514ce,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4n0kliz7v6iy2ooewnwf;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,10.039972,GB,0.1,USD/GB,USD,1.0039972,List Price*Usage,,,,0,1.0039972,0,1.0039972
8bb846e4ab7a15400de51126c1ad896f,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4nmdmc8gw3awvfjimwqk;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,8.98174,GB,0.1,USD/GB,USD,0.898174,List Price*Usage,,,,0,0.898174,0,0.898174
9467201b254650d3a716e91581f1743a,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4nbgpj398ullqukvzek2;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,4.274161,GB,0.1,USD/GB,USD,0.4274161,List Price*Usage,,,,0,0.4274161,0,0.4274161
a097edc7bacb1478b82379233820a1c6,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4niovmi8d4lvwzhr40un;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,1.266662,GB,0.1,USD/GB,USD,0.1266662,List Price*Usage,,,,0,0.1266662,0,0.1266662
a893094223ce6c89e53161561a374bd3,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4ntoz6c2dkmuo834b4yv;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,1.594499,GB,0.1,USD/GB,USD,0.1594499,List Price*Usage,,,,0,0.1594499,0,0.1594499
bdb5f433f50e39b6acfae0e6f610a39a,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""Monthly Free Quota for Internet Data Transfers""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4ntoz6c2dkmuo834b4yv;ap-southeast-1;BGP;0,,ap-southeast-1,Singapore,,,1.408816,GB,0,USD/GB,USD,0,List Price*Usage,,,,0,0,0,0
c34fb742d9a5b3a8739b3117b0ad5643,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""Monthly Free Quota for Internet Data Transfers""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4nmdmc8gw3awvfjimwqk;ap-southeast-1;BGP;0,,ap-southeast-1,Singapore,,,0.169895,GB,0,USD/GB,USD,0,List Price*Usage,,,,0,0,0,0
caf318516879ad6c2d008a32aaf6e5f4,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4nl0ekjk63oza7iqo1bv;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,20.029412,GB,0.1,USD/GB,USD,2.0029412,List Price*Usage,,,,0,2.0029412,0,2.0029412
cf2edde50373d67a9841ae422a1cddfd,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4niovmi8d4lvwzhr40un;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,34.230054,GB,0.1,USD/GB,USD,3.4230054,List Price*Usage,,,,0,3.4230054,0,3.4230054
cfa6268c66215b9ea65802bbe2e1bee0,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Eip_Out_Bytes,EIP Data Transfer (outbound),"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""ECS public IP  Data Transfer (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,eip-t4n0kliz7v6iy2ooewnwf;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,310.756024,GB,0.1,USD/GB,USD,31.0756024,List Price*Usage,,,,0,31.0756024,0,31.0756024
e089603185c1a70f4d3576f6694b708f,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4nmdmc8gw3awvfjimwqk;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,0.242932,GB,0.1,USD/GB,USD,0.0242932,List Price*Usage,,,,0,0.0242932,0,0.0242932
e11024999aceaa170883815c89e48134,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""Monthly Free Quota for Internet Data Transfers""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4nl0ekjk63oza7iqo1bv;ap-southeast-1;BGP;0,,ap-southeast-1,Singapore,,,18.570836,GB,0,USD/GB,USD,0,List Price*Usage,,,,0,0,0,0
e556e672e57752d95853c253612803ef,,5734660326444971	,it.infra@charleskeith.com,5734660326444971	,it.infra@charleskeith.com,5416886845540280	,202607,Pay-as-you-go Fee for Cloud Resources,Pay-As-You-Go,cdt,Cloud Data Transfer,cdt_internet_public_intl,cloud data transfer-internet,Cbwp_Out_Bytes,Pay-By-Data-Transfer EIP Bandwidth Plan - Outbound Traffic,"[{""name"":""Region"",""value"":""Singapore""},{""name"":""Line Type"",""value"":""BGP (Multi-ISP)""},{""name"":""Data Transfer Tier"",""value"":""0 TB - 10 TB""},{""name"":""EIP Bandwidth Plan (outbound)"",""value"":""[0GB, 9999999999999GB]""}]",,,cbwp-t4n41h9b1jnca88b9gn2n;ap-southeast-1;BGP;1,,ap-southeast-1,Singapore,,,161.143882,GB,0.1,USD/GB,USD,16.1143882,List Price*Usage,,,,0,16.1143882,0,16.1143882
